question,entity,easting,northing,wikipedia,const
https://id.parliament.uk/W1NnIfvz,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/W1NnIfvz,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/7igRwXT1,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/wrZUijyt,Scunthorpe,489462.775847661,410214.291843763,https://en.wikipedia.org/wiki/Scunthorpe,Scunthorpe
https://id.parliament.uk/wrZUijyt,Port_Talbot,275500.148989507,189499.608433673,https://en.wikipedia.org/wiki/Port_Talbot,Aberavon
https://id.parliament.uk/pxl9w1V2,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/pxl9w1V2,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/AyUJ47Te,Newcastle_upon_Tyne,425058.859830992,565113.403916087,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,Newcastle upon Tyne East
https://id.parliament.uk/1TQ1yDn4,Perthshire,276984.35035797,736006.185831402,https://en.wikipedia.org/wiki/Perthshire,Perth and North Perthshire
https://id.parliament.uk/ViQbPVB9,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England,Hexham
https://id.parliament.uk/ViQbPVB9,Newcastle_upon_Tyne,425058.859830992,565113.403916087,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,Newcastle upon Tyne East
https://id.parliament.uk/i7Ziu0CM,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/crczFeqy,Newcastle_upon_Tyne_Central_(UK_Parliament_constituency),425044.599615484,567672.873254411,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne_Central_(UK_Parliament_constituency),Newcastle upon Tyne North
https://id.parliament.uk/EjwjmL5v,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London,Cities of London and Westminster
https://id.parliament.uk/sNpG55Bh,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York,York Central
https://id.parliament.uk/sNpG55Bh,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York,York Central
https://id.parliament.uk/o7o4q5Ix,Kirklees,413269.122921808,410732.050719232,https://en.wikipedia.org/wiki/Kirklees,Colne Valley
https://id.parliament.uk/a4mrpi2B,Newcastle_railway_station,424615.189553125,563817.452153074,https://en.wikipedia.org/wiki/Newcastle_railway_station,Newcastle upon Tyne Central
https://id.parliament.uk/I8GPhExr,London,530050.067316809,180360.858134408,https://en.wikipedia.org/wiki/London,Cities of London and Westminster
https://id.parliament.uk/O6dOod4v,Kirklees,413269.122921808,410732.050719232,https://en.wikipedia.org/wiki/Kirklees,Colne Valley
